| Team Name                      | School                                                |   # Solved |   Penalty |
| Duc Tri Dang                   | Mount Allison University                              |          3 |       224 |
| MyTeam                         | Western University                                    |          3 |       224 |
| Red                            | South Dakota School of Mines and Technology           |          3 |       226 |
| Yuzhe Liu                      | Purdue University                                     |          3 |       238 |
| Macalester Orange              | Macalester College                                    |          3 |       248 |
| UNCG Team 2                    | University of North Carolina at Greensboro            |          3 |       253 |
| Int. Coders plus Jacob         | Concordia University, Nebraska                        |          3 |       257 |
| NBFIU                          | Florida International University                      |          3 |       259 |
| UNEC_DI                        | Azerbaijan State University of Economics              |          3 |       263 |
| Ten                            | Stanford University                                   |          3 |       278 |
| BVU Gold                       | Buena Vista University                                |          3 |       279 |
| Spare 1                        | University of Michigan                                |          3 |       285 |
| York-Team3                     | York University                                       |          3 |       288 |
| jbailey#1107                   | Ohio State University                                 |          3 |       307 |
| Team VN                        | Truman State University                               |          3 |       322 |
| UCSD Team 20                   | University of California, San Diego                   |          3 |       341 |
| Frank_Liang                    | Washington University in St. Louis                    |          3 |       352 |
| Grace McClurg                  | University of Louisville                              |          3 |       355 |
| ABC                            | University of Wisconsin–Oshkosh                       |          3 |       355 |
| Rhagfyr                        | University of Michigan                                |          3 |       358 |
| CUCBatKnightsNG                | Concordia University Chicago                          |          3 |       366 |
| VU Team 7                      | Vanderbilt University                                 |          3 |       369 |
| Blue                           | South Dakota School of Mines and Technology           |          3 |       370 |
| Riesige Gehirne                | McGill University                                     |          3 |       374 |
| Samir                          | Emory University                                      |          3 |       377 |
| BYU Team 4                     | Brigham Young University                              |          3 |       379 |
| Christopher Thompson           | Baylor University                                     |          3 |       384 |
| DPU 3                          | DePauw University                                     |          3 |       401 |
| Darian Zeis                    | University of Louisville                              |          3 |       412 |
| team7                          | Indiana State University                              |          3 |       413 |
| Procrastination                | McGill University                                     |          3 |       422 |
| Sticky Fingers                 | Dakota State University                               |          3 |       440 |
| team4                          | Indiana State University                              |          3 |       451 |
| KaiBai                         | McGill University                                     |          3 |       463 |
